segment_id	segment_text	comment_text
pli-tv-kd1:5.11.1	He saw beings with little dust in their eyes and with much dust in their eyes, with sharp faculties and with dull faculties, with good qualities and with bad qualities, easy to teach and difficult to teach. He even saw some who regarded the next world as dangerous and to be avoided, while others did not.	I follow the reading in the PTS edition of the Pali, which omits the phrase _appekacce na paralokavajjabhayadassāvine viharante_.
pli-tv-kd1:5.11.2	It was just like red and white lotuses and blue water lilies, sprouted and grown in a lotus pond: some remain submerged in the water without rising out of it, others reach the surface of the water, while others still rise out of the water without being touched by it.	NA
pli-tv-kd1:5.12.1	When he had seen this, the Buddha replied to Sahampati in verse:	NA
pli-tv-kd1:5.12.2	“The doors to the freedom from death are open!	NA
pli-tv-kd1:5.12.3	May those who hear release their faith.	NA
pli-tv-kd1:5.12.4	Seeing trouble, supreme being,	NA
pli-tv-kd1:5.12.5	I did not speak the sublime and subtle Truth.”	NA
pli-tv-kd1:5.13.1	Sahampati thought,	NA
pli-tv-kd1:5.13.2	“The Buddha has consented to teach.” He bowed down, circumambulated the Buddha with his right side toward him, and disappeared right there.	NA
pli-tv-kd1:5.13.3	The account of the supreme being’s request is finished.	NA
pli-tv-kd1:6.1.0	6. The account of the group of five	NA
pli-tv-kd1:6.1.1	The Buddha thought,	NA
pli-tv-kd1:6.1.2	“Who should I teach first?	NA
pli-tv-kd1:6.1.3	Who will understand this Teaching quickly?”	NA
pli-tv-kd1:6.1.4	And it occurred to him,	NA
pli-tv-kd1:6.1.5	“Ālāra Kālāma is wise and competent, and has for a long time had little dust in his eyes.	NA
pli-tv-kd1:6.1.6	Let me teach him first. He will understand it quickly.”	NA
pli-tv-kd1:6.2.1	But an invisible god informed the Buddha, “Sir, Ālāra Kālāma died seven days ago,”	NA
pli-tv-kd1:6.2.2	and the Buddha also knew this for himself.	NA
pli-tv-kd1:6.2.3	He thought,	NA
pli-tv-kd1:6.2.4	“Ālāra Kālāma’s loss is great.	NA
pli-tv-kd1:6.2.5	If he had heard this Teaching, he would have understood it quickly.”	NA
pli-tv-kd1:6.3.1	Again the Buddha thought,	NA
pli-tv-kd1:6.3.2	“Who should I teach first?	NA
pli-tv-kd1:6.3.3	Who will understand this Teaching quickly?”	NA
pli-tv-kd1:6.3.4	And it occurred to him,	NA
pli-tv-kd1:6.3.5	“Udaka Rāmaputta is wise and competent, and has for a long time had little dust in his eyes.	NA
pli-tv-kd1:6.3.6	Let me teach him first. He will understand it quickly.”	NA
pli-tv-kd1:6.4.1	But an invisible god informed the Buddha, “Sir, Udaka Rāmaputta died last night,”	NA
pli-tv-kd1:6.4.2	and the Buddha also knew this for himself.	NA
pli-tv-kd1:6.4.3	He thought,	NA
pli-tv-kd1:6.4.4	“Udaka Rāmaputta’s loss is great.	NA
pli-tv-kd1:6.4.5	If he had heard this Teaching, he would have understood it quickly.”	NA
pli-tv-kd1:6.5.1	Once again the Buddha thought,	NA
pli-tv-kd1:6.5.2	“Who should I teach first?	NA
pli-tv-kd1:6.5.3	Who will understand this Teaching quickly?”	NA
pli-tv-kd1:6.5.4	And it occurred to him,	NA
pli-tv-kd1:6.5.5	“The group of five monks who supported me while I was striving were of great service to me.	NA
pli-tv-kd1:6.6.1	Let me teach them first.	NA
pli-tv-kd1:6.6.3	But where are they staying now?”	NA
pli-tv-kd1:6.6.4	With his superhuman and purified clairvoyance, the Buddha saw that the group of five monks were staying near Benares, in the deer park at Isipatana.	NA
pli-tv-kd1:6.6.5	Then, after staying at Uruvelā for as long as he liked, he set out wandering toward Benares.	NA
pli-tv-kd1:6.7.1	The Ājīvaka ascetic Upaka saw the Buddha traveling between Gayā and the place of awakening. He said to the Buddha,	NA
pli-tv-kd1:6.7.2	“Sir, your senses are clear and your skin is pure and bright.	NA
pli-tv-kd1:6.7.3	In whose name have you gone forth?	NA
pli-tv-kd1:6.7.4	Who is your teacher	NA
pli-tv-kd1:6.7.5	or whose teaching do you follow?”	NA
pli-tv-kd1:6.8.1	The Buddha replied to Upaka in verse:	NA
pli-tv-kd1:6.8.2	“I’m the victor, the knower of all.	NA
pli-tv-kd1:6.8.3	Abandoning all, I’m not soiled by anything.	NA
pli-tv-kd1:6.8.4	Through my own insight, I’m freed by the ending of craving—	NA
pli-tv-kd1:6.8.5	So who should I refer to as a teacher?	NA
pli-tv-kd1:6.8.6	I have no teacher;	NA
pli-tv-kd1:6.8.7	No-one like me exists.	NA
pli-tv-kd1:6.8.8	In the world with its gods,	NA
pli-tv-kd1:6.8.9	I have no equal.	NA
pli-tv-kd1:6.8.10	For I’m the Perfected One,	NA
pli-tv-kd1:6.8.11	The supreme teacher.	NA
pli-tv-kd1:6.8.12	I alone am fully awakened;	NA
pli-tv-kd1:6.8.13	I’m cool and extinguished.	NA
pli-tv-kd1:6.8.14	I’m going to the city of Kāsi,	NA
pli-tv-kd1:6.8.15	To set rolling the wheel of the Teaching.	NA
pli-tv-kd1:6.8.16	In this world immersed in darkness,	NA
pli-tv-kd1:6.8.17	I’ll beat the drum of freedom from death.”	NA
pli-tv-kd1:6.9.1	“According to your own claim you must be a universal Victor.”	NA
pli-tv-kd1:6.9.2	“Indeed, those like me are victors,	NA
pli-tv-kd1:6.9.3	Those who have ended the corruptions.	NA
pli-tv-kd1:6.9.4	I have conquered all bad traits—	NA
pli-tv-kd1:6.9.5	Therefore, Upaka, I’m a Victor.”	NA
pli-tv-kd1:6.9.6	Saying, “May it be so,” Upaka shook his head, chose the wrong path, and left.	NA
pli-tv-kd1:6.10.1	The Buddha continued wandering toward the deer park at Isipatana near Benares. When he eventually arrived, he went to the group of five monks.	NA
pli-tv-kd1:6.10.2	Seeing him coming,	NA
pli-tv-kd1:6.10.3	the group of five made an agreement with one another:	NA
pli-tv-kd1:6.10.4	“Here comes the ascetic Gotama, who has given up his striving and returned to a life of indulgence.	NA
pli-tv-kd1:6.10.5	We shouldn’t bow down to him, stand up for him, or receive his bowl and robe,	NA
pli-tv-kd1:6.10.6	but we should prepare a seat. If he wishes, he may sit down.”	NA
pli-tv-kd1:6.11.1	But as the Buddha approached, the group of five monks was unable to keep the agreement.	NA
pli-tv-kd1:6.11.2	One went to meet him to receive his bowl and robe, another prepared a seat, another set out water for washing the feet, yet another set out a foot stool, and the last one put out a foot scraper.	Sp-yoj 2.694: _Pādassa ṭhapanakaṁ pīṭhaṁ pādapīṭhaṁ_, “A _pādapīṭha_ is a bench for placing the feet.” Vmv 2.112: _Pādakathalikanti adhotapādaṁ yasmiṁ ghaṁsantā dhovanti, taṁ dāruphalakādi_, “_Pādakathalika_ means the wooden plank, etc., with which they wash the dirty feet by rubbing.”
pli-tv-kd1:6.11.3	The Buddha sat down on the prepared seat	NA
pli-tv-kd1:6.11.4	and washed his feet.	NA
pli-tv-kd1:6.11.5	But they still addressed him by name and as “friend”.	NA
pli-tv-kd1:6.12.1	The Buddha said to the group of five monks,	NA
pli-tv-kd1:6.12.2	“Monks, don’t address the Buddha by name or as ‘friend’.	NA
pli-tv-kd1:6.12.3	Listen, I’m perfected and fully awakened. I have discovered the freedom from death. I will instruct you and teach you the Truth.	NA
pli-tv-kd1:6.12.4	When you practice as instructed,	NA
pli-tv-kd1:6.12.5	in this very life you will soon realize with your own insight the supreme goal of the spiritual life	NA
pli-tv-kd1:6.12.6	for which gentlemen rightly go forth into homelessness.”	NA
pli-tv-kd1:6.13.1	They replied,	NA
pli-tv-kd1:6.13.2	“Friend Gotama, by practicing extreme austerities you didn’t gain any superhuman quality, any distinction in knowledge and vision worthy of noble ones. Since you have given up your striving and returned to a life of indulgence, how could you now have achieved any of this?”	NA
pli-tv-kd1:6.14.1	The Buddha said,	NA
pli-tv-kd1:6.14.2	“I haven’t given up striving and returned to a life of indulgence,”	NA
pli-tv-kd1:6.14.3	and he repeated what he had said before.	NA
pli-tv-kd1:6.15.1	A second time the group of five monks repeated their question	NA
pli-tv-kd1:6.15.2	and a second time the Buddha repeated his reply.	NA
pli-tv-kd1:6.15.3	A third time they repeated their question, and the Buddha then said, “Have you ever heard me speak like this?”	NA
pli-tv-kd1:6.16.3	“No, sir.”	NA
pli-tv-kd1:6.16.4	“Then listen. I’m perfected and fully awakened. I have discovered the freedom from death. I will instruct you and teach you the Truth.	NA
pli-tv-kd1:6.16.5	When you practice as instructed,	NA
pli-tv-kd1:6.16.6	in this very life you will soon realize with your own insight the supreme goal of the spiritual life	NA
pli-tv-kd1:6.16.7	for which gentlemen rightly go forth into homelessness.”	NA
pli-tv-kd1:6.16.8	The Buddha was able to persuade the group of five monks.	NA
pli-tv-kd1:6.16.9	They then listened to the Buddha, paid careful attention, and applied their minds to understand.	NA
pli-tv-kd1:6.17.1	And the Buddha addressed them:	NA
pli-tv-kd1:6.17.2	“There are these two opposites that should not be pursued by one who has gone forth.	NA
pli-tv-kd1:6.17.4	One is the devotion to worldly pleasures, which is inferior, crude, common, ignoble, and unbeneficial. The other is the devotion to self-torment, which is painful, ignoble, and unbeneficial.	NA
pli-tv-kd1:6.17.5	By avoiding these opposites, I have awakened to the middle path, which produces vision and knowledge, which leads to peace, insight, awakening, and extinguishment.	NA
pli-tv-kd1:6.18.1	And what, monks, is that middle path?	NA
pli-tv-kd1:6.18.2	It’s just this noble eightfold path,	NA
pli-tv-kd1:6.18.3	that is, right view, right aim, right speech, right action, right livelihood, right effort, right mindfulness, and right stillness.	NA
pli-tv-kd1:6.19.1	And this is noble truth of suffering:	NA
pli-tv-kd1:6.19.2	birth is suffering, old age is suffering, sickness is suffering, death is suffering, association with what is disliked is suffering, separation from what is liked is suffering, not getting what you want is suffering.	NA
pli-tv-kd1:6.19.3	In brief, the five aspects of existence affected by grasping are suffering.	NA
pli-tv-kd1:6.20.1	And this is noble truth of the origin of suffering:	NA
pli-tv-kd1:6.20.2	the craving that leads to rebirth, that comes with delight and sensual desire, ever delighting in this and that,	NA
pli-tv-kd1:6.20.3	that is, craving for worldly pleasures, craving for existence, and craving for non-existence.	NA
pli-tv-kd1:6.21.1	And this is noble truth of the end of suffering:	NA
pli-tv-kd1:6.21.2	the full fading away and ending of that very craving; giving it up, relinquishing it, releasing it, letting it go.	NA
pli-tv-kd1:6.22.1	And this is noble truth of the path leading to the end of suffering:	NA
pli-tv-kd1:6.22.2	just this noble eightfold path,	NA
pli-tv-kd1:6.22.3	that is, right view, right aim, right speech, right action, right livelihood, right effort, right mindfulness, and right stillness.	NA
pli-tv-kd1:6.23.1	I knew that this is the noble truth of suffering. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.23.2	I knew that this noble truth of suffering should be fully understood. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.23.3	I knew that this noble truth of suffering had been fully understood. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.24.1	I knew that this is the noble truth of the origin of suffering. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.24.2	I knew that this noble truth of the origin of suffering should be fully abandoned. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.24.3	I knew that this noble truth of the origin of suffering had been fully abandoned. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.25.1	I knew that this is the noble truth of the end of suffering. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.25.2	I knew that this noble truth of the end of suffering should be fully experienced. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.25.3	I knew that this noble truth of the end of suffering had been fully experienced. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.26.1	I knew that this is the noble truth of the path leading to the end of suffering. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.26.2	I knew that this noble truth of the path leading to the end of suffering should be fully developed. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.26.3	I knew that this noble truth of the path leading to the end of suffering had been fully developed. Vision, knowledge, wisdom, understanding, and light arose in me regarding things I had never heard before.	NA
pli-tv-kd1:6.27.1	So long as I had not fully purified my knowledge and vision according to reality of these four noble truths with their three stages and twelve characteristics, I didn’t claim the supreme full awakening in this world with its gods, lords of death, and supreme beings, in this society with its monastics and brahmins, its gods and humans.	NA
pli-tv-kd1:6.28.1	But when I had fully purified my knowledge and vision according to reality of these four noble truths with their three stages and twelve characteristics, then I did claim the supreme full awakening in this world with its gods, lords of death, and supreme beings, in this society with its monastics and brahmins, its gods and humans.	NA
pli-tv-kd1:6.29.1	And knowledge and vision arose in me:	NA
pli-tv-kd1:6.29.2	‘My freedom is unshakable, this is my last birth, now there is no further rebirth.’”	NA
pli-tv-kd1:6.29.3	This is what the Buddha said. The monks from the group of five were pleased and they rejoiced in the Buddha’s exposition.	NA
pli-tv-kd1:6.29.4	And while this exposition was being spoken, Venerable Koṇḍañña experienced the stainless vision of the Truth:	NA
pli-tv-kd1:6.29.5	“Anything that has a beginning has an end.”	NA
pli-tv-kd1:6.30.1	When the Buddha had set rolling the wheel of the Teaching, the earth gods cried out,	NA
pli-tv-kd1:6.30.2	“At Benares, in the deer park at Isipatana, the Buddha has set rolling the supreme wheel of the Teaching. It can’t be stopped by any monastic, brahmin, god, lord of death, supreme being, or anyone in the world.”	NA
pli-tv-kd1:6.30.3	Hearing the earth gods, the gods of the four great kings cried out …	NA
pli-tv-kd1:6.30.4	Hearing the gods of the four great kings, the gods of the Thirty-three cried out …	NA
pli-tv-kd1:6.30.5	the Yāma gods …	NA
pli-tv-kd1:6.30.6	the contented gods …	NA
pli-tv-kd1:6.30.7	the gods who delight in creation …	NA
pli-tv-kd1:6.30.8	the gods who control the creations of others …	NA
pli-tv-kd1:6.30.9	the gods of the realm of the supreme beings cried out,	NA
pli-tv-kd1:6.30.10	“At Benares, in the deer park at Isipatana, the Buddha has set rolling the supreme wheel of the Teaching. It can’t be stopped by any monastic, brahmin, god, lord of death, supreme being, or anyone in the world.”	NA
pli-tv-kd1:6.31.1	In that instant the news spread as far as the world of the supreme beings.	NA
pli-tv-kd1:6.31.2	Ten thousand solar systems shook and trembled.	NA
pli-tv-kd1:6.31.3	And there appeared in the world an immeasurable and glorious radiance, surpassing the splendor of the gods.	NA
pli-tv-kd1:6.31.4	Then the Buddha uttered a heartfelt exclamation:	NA
pli-tv-kd1:6.31.5	“Koṇḍañña has understood! Indeed, Koṇḍañña has understood!”	NA
pli-tv-kd1:6.31.6	That’s how Koṇḍañña got the name “Aññāsikoṇḍañña”, “Koṇḍañña who has understood.”	NA
